"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.A","Answer.B","Answer.D","Answer.E","Answer.check","Approve","Reject"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","308Q0PEVB9CYRPWZNVVVXLZUR8JI9T","A1A8L6LU8E2YOA","Approved","Tue Mar 15 11:32:50 PDT 2016","Tue Mar 15 11:33:24 PDT 2016","Tue Mar 22 11:33:24 PDT 2016","Sat Mar 19 19:16:54 PDT 2016","","","34","95% (20/21)","95% (20/21)","0% (0/0)","15","30","75","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","31HQ4X3T3T9IM504H4SZ6WWC0ZASLY","A35D31QHYQUF9V","Approved","Tue Mar 15 11:11:54 PDT 2016","Tue Mar 15 11:12:24 PDT 2016","Tue Mar 22 11:12:24 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","30","96% (54/56)","96% (54/56)","100% (1/1)","25","50","55","30","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","31Q0U3WYDQEJD0C80RC5RQR2FEB17V","A18TCR555RWUZV","Approved","Tue Mar 15 10:22:51 PDT 2016","Tue Mar 15 10:23:32 PDT 2016","Tue Mar 22 10:23:32 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","41","100% (56/56)","100% (56/56)","100% (1/1)","20","40","85","35","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","32SVAV9L3G8X65OLUY28PA8PE7WA3Q","ASHXZ2ZVZ6HF0","Approved","Tue Mar 15 11:25:20 PDT 2016","Tue Mar 15 11:26:33 PDT 2016","Tue Mar 22 11:26:33 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","73","86% (18/21)","86% (18/21)","0% (0/0)","30","50","75","40","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","34X6J5FLPUX0EZXRMFRHVH4JENCQJZ","AAEZQL4J6CQGM","Approved","Tue Mar 15 11:32:30 PDT 2016","Tue Mar 15 11:33:01 PDT 2016","Tue Mar 22 11:33:01 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","31","90% (47/52)","90% (47/52)","0% (0/0)","20","50","70","25","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","3570Y55XZQIZWZYC5JN8BQF5L24YGU","A2HR7ZIX42FEPG","Approved","Tue Mar 15 10:44:44 PDT 2016","Tue Mar 15 10:45:13 PDT 2016","Tue Mar 22 10:45:13 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","29","75% (43/57)","75% (42/56)","0% (0/0)","15","25","90","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","36PW28KO40V0G34IJIJ481CM5WFEAE","A16TESTJICU76L","Approved","Tue Mar 15 11:21:02 PDT 2016","Tue Mar 15 11:21:32 PDT 2016","Tue Mar 22 11:21:32 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","30","100% (19/19)","100% (19/19)","100% (5/5)","12","40","65","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","37XITHEISX8DIM6LP2ZVD31TKNXCRW","A15A09BRS1Q8W0","Approved","Tue Mar 15 10:25:54 PDT 2016","Tue Mar 15 10:28:28 PDT 2016","Tue Mar 22 10:28:28 PDT 2016","Sat Mar 19 19:16:55 PDT 2016","","","154","97% (29/30)","97% (29/30)","100% (1/1)","12","25","45","30","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","39ASUFLU6Y6CCGCBUSBIS9NK6GRXE2","A2XM6C78S9L8UG","Approved","Tue Mar 15 09:55:55 PDT 2016","Tue Mar 15 09:56:20 PDT 2016","Tue Mar 22 09:56:20 PDT 2016","Sat Mar 19 19:16:56 PDT 2016","","","25","74% (40/54)","74% (40/54)","0% (0/0)","25","52","68","40","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH39A7","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:20:27 PDT 2016","30","BatchId:2312231;","180","604800","Tue Mar 22 09:20:27 PDT 2016","","","39U1BHVTDMQ2L1NU0YTPKFYH2WLT3Y","A110KENBXU7SUJ","Approved","Tue Mar 15 11:27:22 PDT 2016","Tue Mar 15 11:27:48 PDT 2016","Tue Mar 22 11:27:48 PDT 2016","Sat Mar 19 19:16:56 PDT 2016","","","26","100% (34/34)","100% (34/34)","0% (0/0)","45","50","75","50","100"
