"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.A","Answer.B","Answer.C","Answer.D","Answer.check","Approve","Reject"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","30ZX6P7VF9UJMGV6K41GZZ6GYHY2JX","A2VE5IV9OD2SK1","Approved","Tue Mar 15 11:32:29 PDT 2016","Tue Mar 15 11:33:39 PDT 2016","Tue Mar 22 11:33:39 PDT 2016","Sat Mar 19 19:34:10 PDT 2016","","","70","100% (31/31)","100% (31/31)","100% (1/1)","27","85","60","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","31HQ4X3T3T9IM504H4SZ6WWC002SLS","AAEZQL4J6CQGM","Approved","Tue Mar 15 11:31:42 PDT 2016","Tue Mar 15 11:32:03 PDT 2016","Tue Mar 22 11:32:03 PDT 2016","Sat Mar 19 19:34:10 PDT 2016","","","21","90% (47/52)","90% (47/52)","0% (0/0)","25","80","60","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","32SVAV9L3G8X65OLUY28PA8PE7KA3E","A149ROBL26JWPJ","Approved","Tue Mar 15 11:17:35 PDT 2016","Tue Mar 15 11:18:08 PDT 2016","Tue Mar 22 11:18:08 PDT 2016","Sat Mar 19 19:34:10 PDT 2016","","","33","100% (26/26)","100% (26/26)","100% (1/1)","40","80","65","30","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","34S9DKFK74O56RFYSN031AO2MF9YNN","A3HSMUPSPOKD0M","Approved","Tue Mar 15 11:14:47 PDT 2016","Tue Mar 15 11:15:07 PDT 2016","Tue Mar 22 11:15:07 PDT 2016","Sat Mar 19 19:34:10 PDT 2016","","","20","91% (41/45)","91% (41/45)","100% (1/1)","20","70","50","10","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","37FMASSAYDQHFIBWLF9RORUKF8MIB3","A3JZS32RQUWGJM","Approved","Tue Mar 15 11:32:56 PDT 2016","Tue Mar 15 11:33:34 PDT 2016","Tue Mar 22 11:33:34 PDT 2016","Sat Mar 19 19:34:10 PDT 2016","","","38","71% (24/34)","71% (24/34)","0% (0/0)","25","88","66","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","37TRT2X24RQDATV23XUR0S9KSL0BJT","A2XM6C78S9L8UG","Approved","Tue Mar 15 09:56:20 PDT 2016","Tue Mar 15 09:57:07 PDT 2016","Tue Mar 22 09:57:07 PDT 2016","Sat Mar 19 19:34:10 PDT 2016","","","47","74% (40/54)","74% (40/54)","0% (0/0)","32","73","66","25","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","39PAAFCODNZMXAPDK8ZV3AQ0TGPTV6","A5OJ7FHDAEHR9","Approved","Tue Mar 15 11:11:56 PDT 2016","Tue Mar 15 11:12:22 PDT 2016","Tue Mar 22 11:12:22 PDT 2016","Sat Mar 19 19:34:11 PDT 2016","","","26","100% (56/56)","100% (56/56)","100% (1/1)","30","80","75","20","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","3A4TN5196LH0TSSITXN1ZZZNXEXHC2","A15A09BRS1Q8W0","Approved","Tue Mar 15 10:11:50 PDT 2016","Tue Mar 15 10:12:13 PDT 2016","Tue Mar 22 10:12:13 PDT 2016","Sat Mar 19 19:34:11 PDT 2016","","","23","97% (29/30)","97% (29/30)","100% (1/1)","15","80","70","12","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","3A4TN5196LH0TSSITXN1ZZZNXF9HCG","A3UBB1LJKDQGZP","Approved","Tue Mar 15 11:07:14 PDT 2016","Tue Mar 15 11:07:53 PDT 2016","Tue Mar 22 11:07:53 PDT 2016","Sat Mar 19 19:34:11 PDT 2016","","","39","100% (3/3)","100% (3/3)","100% (1/1)","40","75","65","15","100"
"3M67TQBQQHNGZNF8L5YGS3FSPH2A97","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:04:19 PDT 2016","30","BatchId:2312165;","180","604800","Tue Mar 22 09:04:19 PDT 2016","","","3DI28L7YXBD4MFRINZQBX0JJ12Y1E2","A1ZD9SJXQ9C6EW","Approved","Tue Mar 15 11:13:08 PDT 2016","Tue Mar 15 11:15:52 PDT 2016","Tue Mar 22 11:15:52 PDT 2016","Sat Mar 19 19:34:11 PDT 2016","","","164","76% (26/34)","76% (26/34)","0% (0/0)","33","90","75","25","100"
