"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.A","Answer.B","Answer.C","Answer.E","Answer.check","Approve","Reject"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3IJXV6UZ1YI4VPSLHCVHO6ZOXUPIRG","A37WXDYYT7RCZ0","Approved","Tue Mar 15 11:33:35 PDT 2016","Tue Mar 15 11:33:50 PDT 2016","Tue Mar 22 11:33:50 PDT 2016","Mon Mar 21 12:24:56 PDT 2016","","","15","86% (30/35)","86% (30/35)","0% (0/0)","15","80","70","90","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3XM0HYN6NLY737AK8111YW1H4IFEPU","A2B8HPIZDKYKDR","Approved","Tue Mar 15 11:21:11 PDT 2016","Tue Mar 15 11:21:27 PDT 2016","Tue Mar 22 11:21:27 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","16","94% (51/54)","94% (51/54)","0% (0/0)","10","75","80","100","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3KIBXJ1WD6TS47QTPNZP7R9WEBUOKO","AFDC9A6Z60W2Z","Approved","Tue Mar 15 11:33:56 PDT 2016","Tue Mar 15 11:34:13 PDT 2016","Tue Mar 22 11:34:13 PDT 2016","Mon Mar 21 12:24:56 PDT 2016","","","17","100% (52/52)","100% (52/52)","100% (1/1)","10","60","66","80","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3KGTPGBS6YKS0W60W35U61FRFXV2US","A22XK2FSFIAAFG","Approved","Tue Mar 15 11:29:12 PDT 2016","Tue Mar 15 11:29:30 PDT 2016","Tue Mar 22 11:29:30 PDT 2016","Mon Mar 21 12:24:56 PDT 2016","","","18","91% (50/55)","91% (50/55)","100% (1/1)","20","90","90","95","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","39ZSFO5CA9VS6S483OBM5I18H67JUI","A3F90N8YVKJ4I7","Approved","Tue Mar 15 09:54:34 PDT 2016","Tue Mar 15 09:54:57 PDT 2016","Tue Mar 22 09:54:57 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","23","89% (50/56)","89% (50/56)","0% (0/0)","20","80","90","85","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3Z7EFSHGNADXFISXY15N2LNHL4GXCB","A15A09BRS1Q8W0","Approved","Tue Mar 15 10:13:41 PDT 2016","Tue Mar 15 10:14:04 PDT 2016","Tue Mar 22 10:14:04 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","23","97% (29/30)","97% (29/30)","100% (1/1)","15","60","70","90","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","358010RM5FSTERYXPI0SSDB66CZXVF","A3HSMUPSPOKD0M","Approved","Tue Mar 15 11:25:49 PDT 2016","Tue Mar 15 11:26:12 PDT 2016","Tue Mar 22 11:26:12 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","23","91% (41/45)","91% (41/45)","100% (1/1)","15","65","45","95","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","38SKSKU7R2WTSRX8CSYL2UQPR18ILW","A35D31QHYQUF9V","Approved","Tue Mar 15 11:12:24 PDT 2016","Tue Mar 15 11:12:48 PDT 2016","Tue Mar 22 11:12:48 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","24","96% (54/56)","96% (54/56)","100% (1/1)","20","90","75","100","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3OCHAWUVGPJFYG4LQEMLQ40PQE2KXQ","ARVXIBUCA8WDZ","Approved","Tue Mar 15 11:07:57 PDT 2016","Tue Mar 15 11:08:25 PDT 2016","Tue Mar 22 11:08:25 PDT 2016","Mon Mar 21 12:24:56 PDT 2016","","","28","94% (46/49)","94% (46/49)","100% (1/1)","15","75","80","85","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3ZGVPD4G6UG36UUNL5OYOG3WHRZTZA","A5OJ7FHDAEHR9","Approved","Tue Mar 15 11:14:44 PDT 2016","Tue Mar 15 11:15:12 PDT 2016","Tue Mar 22 11:15:12 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","28","100% (56/56)","100% (56/56)","100% (1/1)","10","80","80","90","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3DZQRBDBSME161AFBYOZAA2V0C3S32","A2HR7ZIX42FEPG","Approved","Tue Mar 15 10:35:36 PDT 2016","Tue Mar 15 10:36:07 PDT 2016","Tue Mar 22 10:36:07 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","31","75% (43/57)","75% (42/56)","0% (0/0)","15","80","85","85","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3WT783CTPCGQ2FPWT5D5DOWP21OBCC","A2XM6C78S9L8UG","Approved","Tue Mar 15 09:22:05 PDT 2016","Tue Mar 15 09:22:38 PDT 2016","Tue Mar 22 09:22:38 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","33","74% (40/54)","74% (40/54)","0% (0/0)","20","75","80","50","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3IX2EGZR7CI0Q0CRZUGH07EOA72JRD","A2C57JVPIOH7F2","Approved","Tue Mar 15 09:48:43 PDT 2016","Tue Mar 15 09:49:18 PDT 2016","Tue Mar 22 09:49:18 PDT 2016","Mon Mar 21 12:24:56 PDT 2016","","","35","84% (21/25)","84% (21/25)","0% (0/0)","20","75","75","100","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3AUQQEL7U6SLH1SMM6BLJZOVW4D0VK","A18TCR555RWUZV","Approved","Tue Mar 15 10:32:19 PDT 2016","Tue Mar 15 10:32:57 PDT 2016","Tue Mar 22 10:32:57 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","38","100% (56/56)","100% (56/56)","100% (1/1)","25","80","85","95","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3P59JYT76MJD0JRBWYFK15TPWJO2T1","A1A8L6LU8E2YOA","Approved","Tue Mar 15 11:29:04 PDT 2016","Tue Mar 15 11:29:42 PDT 2016","Tue Mar 22 11:29:42 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","38","95% (20/21)","95% (20/21)","0% (0/0)","5","65","90","95","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","33PPUNGG394QQFHVHGJ3O12ET5JRZA","ARX0S1CIDJLOX","Approved","Tue Mar 15 10:35:06 PDT 2016","Tue Mar 15 10:35:48 PDT 2016","Tue Mar 22 10:35:48 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","42","86% (18/21)","86% (18/21)","0% (0/0)","15","75","70","90","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3R2PKQ87NX7DY9FTC4Z0275ER6LMIP","A3H2HWBP6C2FIV","Rejected","Tue Mar 15 11:26:40 PDT 2016","Tue Mar 15 11:27:24 PDT 2016","Tue Mar 22 11:27:24 PDT 2016","","Mon Mar 21 12:24:45 PDT 2016","Sorry, but one of the questions asked what percentage the category was of itself (100%), which you answered incorrectly (you said 32). This indicates that you misunderstood the directions, so we cannot use your survey in our research.","44","38% (8/21)","38% (8/21)","100% (1/1)","15","90","75","95","32"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3YMU66OBIO7DA48NVJJKPQK2V6MGH8","A2HM35CWB7IIFM","Approved","Tue Mar 15 09:30:52 PDT 2016","Tue Mar 15 09:31:37 PDT 2016","Tue Mar 22 09:31:37 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","45","100% (57/57)","100% (56/56)","100% (1/1)","18","74","78","90","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3TYCR1GOTDIFNHMICWM72PTFNE6ZL6","A2YFPO0N4GIS25","Approved","Tue Mar 15 11:09:32 PDT 2016","Tue Mar 15 11:10:18 PDT 2016","Tue Mar 22 11:10:18 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","46","100% (56/56)","100% (56/56)","100% (1/1)","12","65","68","80","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","3OSWBBLG1FW7KAYBYX0YMR5Z64NXD6","A1FBO95OVBYOH1","Approved","Tue Mar 15 09:17:50 PDT 2016","Tue Mar 15 09:18:37 PDT 2016","Tue Mar 22 09:18:37 PDT 2016","Mon Mar 21 12:24:57 PDT 2016","","","47","100% (16/16)","100% (16/16)","100% (1/1)","15","70","70","98","100"
"3QMELQS6Y5ALGLZRP9HQ3JD0ZKJ6R1","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:15:19 PDT 2016","31","BatchId:2312212;","180","604800","Mon Mar 28 12:24:45 PDT 2016","","","39KFRKBFIOUNOCFAT20GGZO7COTYOF","AIQB7XXL5K2FR","Approved","Tue Mar 15 10:05:37 PDT 2016","Tue Mar 15 10:06:24 PDT 2016","Tue Mar 22 10:06:24 PDT 2016","Mon Mar 21 12:24:55 PDT 2016","","","47","95% (21/22)","95% (21/22)","0% (0/0)","10","80","85","100","100"
