"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.A","Answer.C","Answer.D","Answer.E","Answer.check","Approve","Reject"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","32ZKVD547GM2PFTD0C24KLSVWP7B3C","A2UX7ZJEGGU5","Approved","Tue Mar 15 11:19:13 PDT 2016","Tue Mar 15 11:19:44 PDT 2016","Tue Mar 22 11:19:44 PDT 2016","Sat Mar 19 19:48:12 PDT 2016","","","31","84% (27/32)","84% (27/32)","0% (0/0)","10","90","75","15","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","33PPO7FECWEAUF9GZB0XJHIKIRSDIV","A2YFPO0N4GIS25","Approved","Tue Mar 15 10:50:06 PDT 2016","Tue Mar 15 10:50:34 PDT 2016","Tue Mar 22 10:50:34 PDT 2016","Sat Mar 19 19:48:12 PDT 2016","","","28","100% (56/56)","100% (56/56)","100% (1/1)","5","90","70","10","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","37TRT2X24RQDATV23XUR0S9KSM2BJX","AAEZQL4J6CQGM","Approved","Tue Mar 15 11:24:27 PDT 2016","Tue Mar 15 11:24:51 PDT 2016","Tue Mar 22 11:24:51 PDT 2016","Sat Mar 19 19:48:12 PDT 2016","","","24","90% (47/52)","90% (47/52)","0% (0/0)","10","80","75","20","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","37UQDCYH6YUZZCS675WUYEYI4JJV7H","A3JZS32RQUWGJM","Approved","Tue Mar 15 11:25:25 PDT 2016","Tue Mar 15 11:25:44 PDT 2016","Tue Mar 22 11:25:44 PDT 2016","Sat Mar 19 19:48:12 PDT 2016","","","19","71% (24/34)","71% (24/34)","0% (0/0)","8","80","70","12","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","39U1BHVTDMQ2L1NU0YTPKFYH2VF3T0","A2SYRFPPV9WDEG","Approved","Tue Mar 15 10:11:19 PDT 2016","Tue Mar 15 10:11:54 PDT 2016","Tue Mar 22 10:11:54 PDT 2016","Sat Mar 19 19:48:12 PDT 2016","","","35","100% (25/25)","100% (25/25)","100% (1/1)","8","80","75","15","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","39ZSFO5CA9VS6S483OBM5I18H7AJUN","A1CIIX0CB0GR7H","Approved","Tue Mar 15 11:25:07 PDT 2016","Tue Mar 15 11:26:01 PDT 2016","Tue Mar 22 11:26:01 PDT 2016","Sat Mar 19 19:48:12 PDT 2016","","","54","100% (12/12)","100% (12/12)","100% (1/1)","6","85","75","10","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","3D3VGR7TA1EP5MA2W9OUK0XZEBW3R3","A3UBB1LJKDQGZP","Approved","Tue Mar 15 11:08:25 PDT 2016","Tue Mar 15 11:08:57 PDT 2016","Tue Mar 22 11:08:57 PDT 2016","Sat Mar 19 19:48:13 PDT 2016","","","32","100% (3/3)","100% (3/3)","100% (1/1)","5","75","70","10","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","3DR23U6WE6D5VZ3RPIAL362ETLCTEQ","A2B8HPIZDKYKDR","Approved","Tue Mar 15 11:28:00 PDT 2016","Tue Mar 15 11:28:18 PDT 2016","Tue Mar 22 11:28:18 PDT 2016","Sat Mar 19 19:48:13 PDT 2016","","","18","94% (51/54)","94% (51/54)","0% (0/0)","5","90","75","10","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","3G5F9DBFOQWWS1YIKEI6PRNCINMVHS","AFDC9A6Z60W2Z","Approved","Tue Mar 15 11:28:56 PDT 2016","Tue Mar 15 11:29:20 PDT 2016","Tue Mar 22 11:29:20 PDT 2016","Sat Mar 19 19:48:13 PDT 2016","","","24","100% (52/52)","100% (52/52)","100% (1/1)","7","75","55","10","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","3GFK2QRXXAGXRXES9MMTMW30KLL5WF","A2XM6C78S9L8UG","Approved","Tue Mar 15 09:29:14 PDT 2016","Tue Mar 15 09:29:45 PDT 2016","Tue Mar 22 09:29:45 PDT 2016","Sat Mar 19 19:48:13 PDT 2016","","","31","74% (40/54)","74% (40/54)","0% (0/0)","7","78","70","15","100"
"3N7PQ0KLI5OXAY74K1ZSX92XA4QE3P","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:09:49 PDT 2016","30","BatchId:2312188;","180","604800","Tue Mar 22 09:09:49 PDT 2016","","","3I02618YA15OS376Y1G62ENKQ6JPUW","A5OJ7FHDAEHR9","Approved","Tue Mar 15 11:26:52 PDT 2016","Tue Mar 15 11:27:15 PDT 2016","Tue Mar 22 11:27:15 PDT 2016","Sat Mar 19 19:48:13 PDT 2016","","","23","100% (56/56)","100% (56/56)","100% (1/1)","10","70","80","20","100"
